ID,Name,Department,Appointment
631,Dr. Mahmoud Fathi,Emergency,5
632,Dr. Rania Adel,General,3
633,Dr. Karim Hafez,Cardiology,2
634,Dr. Mai Yassin,Neurology,0
635,Dr. Fouad Kamal,Orthopedics,1
636,Dr. Eman Mostafa,Pediatrics,4
637,Dr. Osama Gamil,Emergency,2
638,Dr. Nabila Saad,General,0
639,Dr. Khaled Zaki,Cardiology,3
640,Dr. Samar Hossam,Neurology,1
641,Dr. Ahmed El-Sayed,Cardiology,3
642,Dr. Mona Farouk,Neurology,1
643,Dr. Samir Khalil,Orthopedics,0
644,Dr. Dalia Hosni,Pediatrics,4
645,Dr. Omar Nabil,Emergency,2
646,Dr. Laila Mansour,General,5
647,Dr. Youssef Gamal,Cardiology,2
648,Dr. Hanan Zaki,Neurology,3
649,Dr. Mostafa Adel,Orthopedics,1
650,Dr. Rania Fathi,Pediatrics,0
651,Dr. Khaled Ibrahim,Emergency,4
652,Dr. Sahar Ezzat,General,2
653,Dr. Tamer Nour,Cardiology,1
654,Dr. Leila Mostafa,Neurology,0
655,Dr. Ashraf Samir,Orthopedics,3
656,Dr. Noura Hossam,Pediatrics,2
657,Dr. Hassan Youssef,Emergency,1
658,Dr. Eman Khaled,General,3
659,Dr. Mohamed Saad,Cardiology,4
660,Dr. Fatima Nabil,Neurology,2
661,Dr. Ahmed El-Sayed,Cardiology,3
662,Dr. Mona Hassan,Neurology,2
663,Dr. Tarek Mahrous,Orthopedics,5
664,Dr. Samira Mostafa,Pediatrics,1
665,Dr. Omar Fawzy,Emergency,4
666,Dr. Hoda Samir,General,0
667,Dr. Khaled Youssef,Cardiology,2
668,Dr. Dalia Naguib,Neurology,3
669,Dr. Gamal Ayman,Orthopedics,0
670,Dr. Laila Ebrahim,Pediatrics,2
671,Dr. Sherif Abdallah,Emergency,1
672,Dr. Nour Khairy,General,4
673,Dr. Youssef Rizk,Cardiology,0
674,Dr. Ranya Hafez,Neurology,5
675,Dr. Amr Soliman,Orthopedics,3
676,Dr. Mai Abdelrahman,Pediatrics,2
677,Dr. Essam Mahdy,Emergency,1
678,Dr. Rana Elwy,General,0
679,Dr. Nabil Gaber,Cardiology,4
680,Dr. Samir Adel,Neurology,1
681,Dr. Ahmed El-Sayed,Cardiology,3
682,Dr. Mariam Hossam,Neurology,1
683,Dr. Omar Khalil,Orthopedics,2
684,Dr. Laila Youssef,Pediatrics,0
685,Dr. Tarek Mostafa,Emergency,4
686,Dr. Samira Amin,General,2
687,Dr. Mahmoud Fathi,Cardiology,1
688,Dr. Sana Ibrahim,Neurology,3
689,Dr. Hossam Abdelrahman,Orthopedics,0
690,Dr. Dina Sherif,Pediatrics,2
691,Dr. Gamal Ayman,Emergency,1
692,Dr. Rania Kamel,General,3
693,Dr. Nabil Emad,Cardiology,2
694,Dr. Yasmin Galal,Neurology,0
695,Dr. Mostafa Anwar,Orthopedics,1
696,Dr. Hoda Elmasry,Pediatrics,4
697,Dr. Amr Hussein,Emergency,2
698,Dr. Dalia Nabil,General,1
699,Dr. Ehab Saad,Cardiology,0
700,Dr. Nevine Farouk,Neurology,2
701,Dr. Ahmed El-Sayed,Cardiology,3
702,Dr. Mohamed Hossam,Neurology,1
703,Dr. Youssef Kamal,Orthopedics,2
704,Dr. Sarah Nabil,Pediatrics,4
705,Dr. Omar Rami,Emergency,0
706,Dr. Laila Farid,General,5
707,Dr. Tarek Adel,Cardiology,2
708,Dr. Hoda Samir,Neurology,3
709,Dr. Samir Younes,Orthopedics,1
710,Dr. Noura Khaled,Pediatrics,2
711,Dr. Mostafa Anwar,Emergency,4
712,Dr. Dalia Abbas,General,0
713,Dr. Khaled Fouad,Cardiology,3
714,Dr. Rania Zaki,Neurology,2
715,Dr. Tamer Gamal,Orthopedics,1
716,Dr. Mona Bassam,Pediatrics,3
717,Dr. Adel Saeed,Emergency,0
718,Dr. Dina Hisham,General,4
719,Dr. Fadi Maher,Cardiology,1
720,Dr. Layla Nasser,Neurology,2
721,Dr. Ahmed Fayed,Cardiology,3
722,Dr. Mona El-Sayed,Neurology,2
723,Dr. Tarek Habib,Orthopedics,4
724,Dr. Laila Mansour,Pediatrics,1
725,Dr. Samir Khalil,Emergency,5
726,Dr. Hoda Nassar,General,0
727,Dr. Omar Ghazal,Cardiology,2
728,Dr. Nawal Said,Neurology,3
729,Dr. Youssef Anwar,Orthopedics,2
730,Dr. Dina Farouk,Pediatrics,4
731,Dr. Karim Saad,Emergency,1
732,Dr. Rania Mahrous,General,0
733,Dr. Mohamed El-Baz,Cardiology,3
734,Dr. Fatima Zayed,Neurology,2
735,Dr. Karim Hosni,Orthopedics,5
736,Dr. Sherif Galal,Pediatrics,2
737,Dr. Hanan Fouad,Emergency,4
738,Dr. Walid Mostafa,General,1
739,Dr. Eman Reda,Cardiology,2
740,Dr. Yassin Khalil,Neurology,3
741,Dr. Ahmed Fahmy,Cardiology,3
742,Dr. Samira El-Sayed,Neurology,1
743,Dr. Mohamed Hassan,Orthopedics,2
744,Dr. Fatima Khalil,Pediatrics,4
745,Dr. Tarek Nabil,Emergency,0
746,Dr. Layla Said,General,2
747,Dr. Omar Salem,Cardiology,5
748,Dr. Hana Mostafa,Neurology,1
749,Dr. Khaled Ezzat,Orthopedics,3
750,Dr. Samia Youssef,Pediatrics,2
751,Dr. Amr Maher,Emergency,4
752,Dr. Rania Sherif,General,1
753,Dr. Youssef Fathi,Cardiology,2
754,Dr. Dalia Abdo,Neurology,0
755,Dr. Adel Habib,Orthopedics,3
756,Dr. Nourhan Kamal,Pediatrics,2
757,Dr. Ehab Gerges,Emergency,1
758,Dr. Mona Khaled,General,3
759,Dr. Mohamed Elmasry,Cardiology,4
760,Dr. Sara Hany,Neurology,2
761,Dr. Ahmed El-Sayed,Cardiology,3
762,Dr. Nadia Hassan,Neurology,1
763,Dr. Mohsen Khalil,Orthopedics,4
764,Dr. Samira Adel,Pediatrics,2
765,Dr. Yasser Mansour,Emergency,0
766,Dr. Laila Fayed,General,5
767,Dr. Omar Gaber,Cardiology,2
768,Dr. Sara Amin,Neurology,3
769,Dr. Tarek Farouk,Orthopedics,1
770,Dr. Rania Hossam,Pediatrics,4
771,Dr. Hany Zaki,Emergency,2
772,Dr. Dina Samir,General,1
773,Dr. Khaled Nabil,Cardiology,3
774,Dr. Amina Fouad,Neurology,0
775,Dr. Sherif Mokhtar,Orthopedics,2
776,Dr. Mariam Adel,Pediatrics,3
777,Dr. Amr Mostafa,Emergency,4
778,Dr. Fatima Ismail,General,2
779,Dr. Karim Ezzat,Cardiology,1
780,Dr. Nour Abdo,Neurology,0
781,Dr. Ahmed Fouad,Cardiology,3
782,Dr. Mona El-Sayed,Neurology,1
783,Dr. Tarek Gamal,Orthopedics,0
784,Dr. Laila Hossam,Pediatrics,2
785,Dr. Omar Youssef,Emergency,4
786,Dr. Samira Khalil,General,2
787,Dr. Mohamed Adel,Cardiology,1
788,Dr. Fatima Sherif,Neurology,0
789,Dr. Yasser Nabil,Orthopedics,3
790,Dr. Huda Mustafa,Pediatrics,2
791,Dr. Karim Ibrahim,Emergency,1
792,Dr. Salma Gamal,General,0
793,Dr. Mostafa Samir,Cardiology,2
794,Dr. Rania Farid,Neurology,1
795,Dr. Khaled Hossam,Orthopedics,0
796,Dr. Nour El-Din,Pediatrics,4
797,Dr. Iman Saad,Emergency,2
798,Dr. Ayman Fathi,General,3
799,Dr. Hanan Ezzat,Cardiology,1
800,Dr. Ehab Mostafa,Neurology,2
801,Dr. Ahmed Hassan,Cardiology,3
802,Dr. Leila Adel,Neurology,1
803,Dr. Omar El-Sayed,Orthopedics,2
804,Dr. Mona Khalil,Pediatrics,4
805,Dr. Sami AbouelNour,Emergency,0
806,Dr. Nabil Farouk,General,5
807,Dr. Yasmine Said,Cardiology,2
808,Dr. Tarek Hossam,Neurology,3
809,Dr. Salma Rashed,Orthopedics,1
810,Dr. Kareem Mansour,Pediatrics,2
811,Dr. Huda Ismail,Emergency,4
812,Dr. Fadi Maher,General,1
813,Dr. Rana Zakaria,Cardiology,0
814,Dr. Karim Naguib,Neurology,2
815,Dr. Hanaa Youssef,Orthopedics,3
816,Dr. Amr Tawfik,Pediatrics,1
817,Dr. Mai Ebrahim,Emergency,2
818,Dr. Tamer Ghannam,General,3
819,Dr. Dalia Saad,Cardiology,4
820,Dr. Khaled Rashed,Neurology,2
821,Dr. Ahmed El-Sayed,Cardiology,3
822,Dr. Mohamed Fouad,Neurology,1
823,Dr. Sarah Kamal,Orthopedics,2
824,Dr. Tarek Mansour,Pediatrics,0
825,Dr. Layla Hamed,Emergency,4
826,Dr. Omar Nasser,General,2
827,Dr. Rania Adel,Cardiology,1
828,Dr. Youssef Gaber,Neurology,3
829,Dr. Hanan El-Baz,Orthopedics,2
830,Dr. Khaled Mansour,Pediatrics,5
831,Dr. Samir Khalil,Emergency,0
832,Dr. Mona Farouk,General,2
833,Dr. Amr Nabil,Cardiology,1
834,Dr. Dina Abdelrahman,Neurology,2
835,Dr. Hossam Yassin,Orthopedics,4
836,Dr. Eman Sobhi,Pediatrics,3
837,Dr. Tamer Zaki,Emergency,1
838,Dr. Nawal Ayman,General,0
839,Dr. Karim Saad,Cardiology,3
840,Dr. Mai Khalil,Neurology,2
841,Dr. Ahmed Nabil,Cardiology,3
842,Dr. Nour El-Din,Neurology,1
843,Dr. Mona Saad,Orthopedics,2
844,Dr. Karim Hosni,Pediatrics,0
845,Dr. Sara Mostafa,Emergency,4
846,Dr. Tarek Fathi,General,2
847,Dr. Hala Abdelrahman,Cardiology,1
848,Dr. Omar Zaki,Neurology,3
849,Dr. Laila Anwar,Orthopedics,0
850,Dr. Youssef Khalil,Pediatrics,2
851,Dr. Samia Ismail,Emergency,1
852,Dr. Mohamed Radwan,General,3
853,Dr. Dina Gamal,Cardiology,2
854,Dr. Essam Hossam,Neurology,0
855,Dr. Samir Youssef,Orthopedics,4
856,Dr. Rania Khaled,Pediatrics,1
857,Dr. Tamer El-Sayed,Emergency,2
858,Dr. Nour Hassan,General,3
859,Dr. Hisham Mansour,Cardiology,0
860,Dr. Amira Fouad,Neurology,2
861,Dr. Ahmed El-Sayed,Cardiology,2
862,Dr. Maha Kamel,Neurology,0
863,Dr. Tarek Hassan,Orthopedics,3
864,Dr. Laila Mansour,Pediatrics,1
865,Dr. Samir Nassar,Emergency,4
866,Dr. Hala Fawzy,General,2
867,Dr. Mohamed Gamal,Cardiology,1
868,Dr. Dina Saber,Neurology,0
869,Dr. Omar El-Baz,Orthopedics,2
870,Dr. Yasmin Ashour,Pediatrics,3
871,Dr. Khaled Mostafa,Emergency,0
872,Dr. Noha Saad,General,1
873,Dr. Amr Alaa,Cardiology,3
874,Dr. Rania El-Feki,Neurology,2
875,Dr. Ashraf Maher,Orthopedics,1
876,Dr. Yasmine Hossam,Pediatrics,2
877,Dr. Tamer Youssef,Emergency,5
878,Dr. Mona Khalil,General,0
879,Dr. Ehab Samy,Cardiology,4
880,Dr. Nadine Gabr,Neurology,1
881,Dr. Ahmed Fouad,Cardiology,3
882,Dr. Samir Khalil,Neurology,0
883,Dr. Laila Hossam,Orthopedics,2
884,Dr. Tamer El-Sayed,Pediatrics,1
885,Dr. Mona Nassar,Emergency,4
886,Dr. Mostafa Ehab,General,2
887,Dr. Rania Fahmy,Cardiology,1
888,Dr. Youssef Samir,Neurology,3
889,Dr. Dalia Khalil,Orthopedics,0
890,Dr. Omar Youssef,Pediatrics,2
891,Dr. Hoda Adel,Emergency,5
892,Dr. Sherif Mostafa,General,0
893,Dr. Mai Hassan,Cardiology,2
894,Dr. Hisham Saber,Neurology,1
895,Dr. Eman Gamal,Orthopedics,4
896,Dr. Fathi Ibrahim,Pediatrics,1
897,Dr. Saeed Abbas,Emergency,3
898,Dr. Amal Khaled,General,2
899,Dr. Amr Samir,Cardiology,0
900,Dr. Basma Ragab,Neurology,2
901,Dr. Ahmed Ali,Cardiology,2
902,Dr. Mohamed Hassan,Neurology,1
903,Dr. Sara Nabil,Orthopedics,0
904,Dr. Youssef Khalil,Pediatrics,3
905,Dr. Maha Omar,Emergency,2
906,Dr. Omar Said,General,4
907,Dr. Rana Gamal,Cardiology,1
908,Dr. Karim Mostafa,Neurology,2
909,Dr. Laila Farid,Orthopedics,1
910,Dr. Nabil Ezzat,Pediatrics,0
911,Dr. Hoda Samir,Emergency,3
912,Dr. Tarek Fouad,General,2
913,Dr. Samira Adel,Cardiology,0
914,Dr. Khaled Saad,Neurology,1
915,Dr. Rania Youssef,Orthopedics,4
916,Dr. Amr Gamel,Pediatrics,2
917,Dr. Hana Fawzy,Emergency,1
918,Dr. Walid Mansour,General,0
919,Dr. Eman Soliman,Cardiology,3
920,Dr. Mostafa Azim,Neurology,2
921,Dr. Ahmed El-Sayed,Cardiology,3
922,Dr. Maha Kamel,Neurology,1
923,Dr. Tarek Nasser,Orthopedics,2
924,Dr. Salma Mostafa,Pediatrics,0
925,Dr. Hossam Gaber,Emergency,4
926,Dr. Amira Fathy,General,2
927,Dr. Karim Ibrahim,Cardiology,1
928,Dr. Dina Hossny,Neurology,3
929,Dr. Samir Khalil,Orthopedics,0
930,Dr. Rania Youssef,Pediatrics,2
931,Dr. Mohamed Adel,Emergency,5
932,Dr. Laila Mansour,General,1
933,Dr. Youssef Mahmud,Cardiology,2
934,Dr. Nour Kamal,Neurology,1
935,Dr. Khaled Saad,Orthopedics,4
936,Dr. Eman Rashed,Pediatrics,0
937,Dr. Tamer Hassan,Emergency,2
938,Dr. Shaima Mansour,General,3
939,Dr. Magdy Fouad,Cardiology,0
940,Dr. Yasmine Abdelrahman,Neurology,2
941,Dr. Ahmed El-Sayed,Cardiology,3
942,Dr. Mariam Khalil,Neurology,1
943,Dr. Omar Hassan,Orthopedics,2
944,Dr. Sara Youssef,Pediatrics,0
945,Dr. Khaled Mahmud,Emergency,4
946,Dr. Noura Amin,General,1
947,Dr. Mostafa Fayed,Cardiology,2
948,Dr. Laila Hossam,Neurology,0
949,Dr. Tarek Kamal,Orthopedics,3
950,Dr. Dalia Samir,Pediatrics,1
951,Dr. Hisham Rashed,Emergency,2
952,Dr. Mona Abdelrahman,General,0
953,Dr. Youssef Ibrahim,Cardiology,5
954,Dr. Salma Gabr,Neurology,1
955,Dr. Fathi Mostafa,Orthopedics,2
956,Dr. Samira Nabil,Pediatrics,0
957,Dr. Amr Farouk,Emergency,3
958,Dr. Eman Khalil,General,2
959,Dr. Tamer Said,Cardiology,1
960,Dr. Hana Mounir,Neurology,4
961,Dr. Ahmed El-Sayed,Cardiology,3
962,Dr. Amira Hossam,Neurology,2
963,Dr. Youssef Khalil,Orthopedics,0
964,Dr. Dina Fouad,Pediatrics,5
965,Dr. Mohamed Adel,Emergency,1
966,Dr. Sara Nabil,General,4
967,Dr. Tarek Mostafa,Cardiology,2
968,Dr. Laila Salem,Neurology,3
969,Dr. Karim Esmail,Orthopedics,1
970,Dr. Nour Hassan,Pediatrics,2
971,Dr. Hossam Ragy,Emergency,0
972,Dr. Mai Abdelrahman,General,3
973,Dr. Omar Fathi,Cardiology,4
974,Dr. Rania Said,Neurology,1
975,Dr. Samir Gad,Orthopedics,0
976,Dr. Eman Youssef,Pediatrics,2
977,Dr. Khaled Maher,Emergency,1
978,Dr. Reem El-Khatib,General,5
979,Dr. Walid Ayman,Cardiology,2
980,Dr. Maha Habib,Neurology,3
981,Dr. Ahmed Mostafa,Cardiology,3
982,Dr. Laila Hossam,Neurology,1
983,Dr. Youssef Adel,Orthopedics,2
984,Dr. Nadia Samir,Pediatrics,0
985,Dr. Khaled Omar,Emergency,4
986,Dr. Mona Fathi,General,2
987,Dr. Amr El-Sayed,Cardiology,1
988,Dr. Sara Nabil,Neurology,3
989,Dr. Tarek Gamal,Orthopedics,0
990,Dr. Rania Hussein,Pediatrics,2
991,Dr. Hany Khalil,Emergency,1
992,Dr. Mai Farid,General,3
993,Dr. Mohamed Esam,Cardiology,2
994,Dr. Dina Ashraf,Neurology,0
995,Dr. Sherif Khaled,Orthopedics,1
996,Dr. Eman Yasser,Pediatrics,2
997,Dr. Omar Saeed,Emergency,4
998,Dr. Sarah Mabrouk,General,1
999,Dr. Mostafa Gaber,Cardiology,2
1000,Dr. Rasha Zakaria,Neurology,1
1001,Dr. Test,General,0
1002,Dr. Test2,Cardiology,0
1003,Dr. Test3,Neurology,1
1004,Dr. Test4,Emergency,0
